,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2015-01-01,2.5721679110065152e-17,2.1646549570181195e-12,8.867566748981589e-15,8.029493292726871e-16
2016-01-01,2.6244786598338438e-17,2.236566635331427e-12,9.168156204545817e-15,8.21052810244119e-16
2017-01-01,2.6804090953254932e-17,2.3141628027928456e-12,9.491135728731286e-15,8.394682120061632e-16
2018-01-01,2.7393623734848574e-17,2.396621694904387e-12,9.833286830408282e-15,8.581358208179863e-16
2019-01-01,2.8007416503153305e-17,2.483121547168064e-12,1.019139101844709e-14,8.769959229387558e-16
2020-01-01,2.8639500818203085e-17,2.5728405950858905e-12,1.0562229801718002e-14,8.959888046276387e-16
2021-01-01,2.9283908240031836e-17,2.664957074159878e-12,1.0942584689091304e-14,9.150547521438026e-16
2022-01-01,2.99346703286735e-17,2.7586492198920407e-12,1.1329237189437278e-14,9.34134051746414e-16
2023-01-01,3.058581864416204e-17,2.8530952677843897e-12,1.1718968811626215e-14,9.531669896946398e-16
2024-01-01,3.1231384746531393e-17,2.9474734533389393e-12,1.2108561064528403e-14,9.720938522476482e-16
2025-01-01,3.1865400195815494e-17,3.0409620120577015e-12,1.2494795457014127e-14,9.908549256646057e-16
2026-01-01,3.2481896552048287e-17,3.132739179442689e-12,1.2874453497953672e-14,1.0093904962046795e-15
2027-01-01,3.3074905375263726e-17,3.221983190995915e-12,1.3244316696217328e-14,1.0276408501270367e-15
2028-01-01,3.363845822549575e-17,3.3078722822193923e-12,1.3601166560675382e-14,1.0455462736908444e-15
2029-01-01,3.41665866627783e-17,3.3895846886151336e-12,1.394178460019812e-14,1.0630470531552702e-15
2030-01-01,3.4653322247145304e-17,3.4662986456851508e-12,1.4262952323655824e-14,1.0800834747794804e-15
2031-01-01,3.509445782865113e-17,3.5374262038241457e-12,1.4562369134272402e-14,1.0966137673747944e-15
2032-01-01,3.549283141743169e-17,3.6033146729975668e-12,1.4841406012686186e-14,1.112667929961135e-15
2033-01-01,3.585304231364333e-17,3.664545178063552e-12,1.5102351833889142e-14,1.1282939041105782e-15
2034-01-01,3.617968981744235e-17,3.721698843880235e-12,1.5347495472873215e-14,1.143539631395198e-15
2035-01-01,3.647737322898512e-17,3.775356795305757e-12,1.557912580463036e-14,1.158453053387071e-15
2036-01-01,3.6750691848427933e-17,3.826100157198253e-12,1.579953170415253e-14,1.1730821116582712e-15
2037-01-01,3.700424497592713e-17,3.874510054415859e-12,1.6011002046431686e-14,1.1874747477808736e-15
2038-01-01,3.724263191163904e-17,3.921167611816713e-12,1.6215825706459767e-14,1.2016789033269537e-15
2039-01-01,3.7470451955719995e-17,3.966653954258951e-12,1.641629155922874e-14,1.2157425198685865e-15
2040-01-01,3.769230440832632e-17,4.011550206600711e-12,1.6614688479730556e-14,1.229713538977847e-15
2041-01-01,3.79115549259073e-17,4.056271525655327e-12,1.681264120623111e-14,1.2436212591658522e-15
2042-01-01,3.812663459008402e-17,4.100569196056919e-12,1.7009117930092074e-14,1.2574204066998863e-15
2043-01-01,3.833474083877053e-17,4.144028534394808e-12,1.7202422705949063e-14,1.2710470647862762e-15
2044-01-01,3.853307110988085e-17,4.186234857258308e-12,1.739085958843769e-14,1.284437316631347e-15
2045-01-01,3.871882284132904e-17,4.22677348123674e-12,1.7572732632193563e-14,1.2975272454414246e-15
2046-01-01,3.8889193471029145e-17,4.265229722919424e-12,1.7746345891852305e-14,1.310252934422836e-15
2047-01-01,3.9041380436895205e-17,4.301188898895674e-12,1.791000342204953e-14,1.3225504667819073e-15
