Data and factors;;;;;;;;;;;;;Emissions/scalars;;;;;;;ERF factors (mW/m2/unit emission);;;;;;;;;;ERF (mW/m2);;;;;;;;;;;5 percentile;95 percentile;;mean;median;5 percentile;95 percentile
;Fuel;CO2;distance;Distance;Scaled dist;Total to;EINOx;EI BC;EI SO2;EI H2O;Transient;;CO2;NOx;BC;SO2;H2O;Contrail+C-C;;O3 short;CH4;O3 long;SWV;netNOx;BC;SO4;H2O;Contrails and C-C;;CO2;O3_short;CH4;O3_long;SWV;netNO??;BC;SO4;H2O;Contrails and C-C;;netNOx;;;total ERF;total ERF;Total ERF;
Date;Tg/yr;Tg/yr;million km;factor;million km;civil fraction;g/kg fuel;g/kg fuel;g/kg fuel;g/kg fuel;factor;CHECK;Tg/Yr;Tg N/yr;Tg BC/yr;Tg SO2/yr;Tg H2O/yr;distance (km);;mW/m2 / Tg N;mW/m2 / Tg N;mW/m2 / Tg N;mW/m2 / Tg N;mW/m2 / Tg N;mW/m2 / Tg BC;mW/m2 / Tg SO2;mW/m2 / Tg H2O;mW/m2/km;;mW/m?;mW/m2;mW/m2;mW/m2;mW/m2;mW/m2;mW/m2;mW/m2;mW/m2;mW/m2;;mW/m2;;;mW/m2;mW/m2;mW/m2;
1990;173,9;549,6;14.371;1,17;16.754;0,95;12,9;0,03;1,2;1.231;;0,861154505;549,6;0,65;0,005;0,1983;203,4;1,68E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;168,2;531,5;14.262;1,17;16.627;0,95;12,9;0,03;1,2;1.231;;0,861015983;531,5;0,63;0,0048;0,1918;196,7;1,66E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;168,6;532,8;15.690;1,17;18.291;0,95;12,9;0,03;1,2;1.231;;0,861074209;532,8;0,63;0,0048;0,1922;197,2;1,83E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;169,5;535,7;17.118;1,17;19.956;0,95;13,01;0,03;1,2;1.231;;0,861164026;535,7;0,64;0,0048;0,1932;198,2;2,00E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;177,6;561,2;18.249;1,17;21.275;0,95;13,12;0,03;1,2;1.231;;0,861010875;561,2;0,67;0,0051;0,2025;207,7;2,13E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;181,9;574,9;19.470;1,17;22.698;0,95;13,23;0,03;1,2;1.231;;0,861179227;574,9;0,7;0,0052;0,2074;212,7;2,27E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;190,2;600,9;20.601;1,17;24.016;0,95;13,34;0,03;1,2;1.231;;0,86084632;600,9;0,73;0,0054;0,2168;222,4;2,40E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;195,9;619,2;21.630;1,17;25.216;0,95;13,46;0,03;1,2;1.231;;0,861252405;619,2;0,76;0,0056;0,2234;229,2;2,52E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;199,8;631,4;22.438;1,17;26.158;0,95;13,57;0,03;1,2;1.231;;0,861079063;631,4;0,78;0,0057;0,2278;233,7;2,62E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;206,3;651,8;23.742;1,17;27.678;0,95;13,68;0,03;1,2;1.231;;0,860892777;651,8;0,82;0,0059;0,2351;241,2;2,77E+10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;216,9;685,5;25.982;1,17;30.289;0,95;13,8;0,03;1,2;1.231;0,73;0,861156022;685,5;0,87;0,0062;0,2473;253,7;3,03E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;21,77;29,81;-11,81;-5,91;-1,77;12,17;0,62;-4,92;1,31;28,35;;2,4;19,12;;56,47;56,78;31,59;80,35
2001;208,7;659,4;26.157;1,17;30.494;0,95;13,88;0,03;1,2;1.231;0,73;0,860915307;659,4;0,84;0,0059;0,2379;244;3,05E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;22,41;28,84;-11,49;-5,74;-1,72;11,69;0,6;-4,74;1,26;28,54;;2,19;18,38;;57,07;57,31;32,44;80,85
2002;209,1;660,7;25.507;1,17;29.735;0,95;13,96;0,03;1,2;1.231;0,74;0,860962448;660,7;0,84;0,006;0,2384;244,5;2,97E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;23,02;29,07;-11,64;-5,82;-1,75;11,69;0,6;-4,75;1,27;27,83;;2,07;18,4;;56,96;57,23;32,68;80,22
2003;209;660,3;26.560;1,17;30.963;0,95;14,04;0,03;1,2;1.231;0,74;0,8608529;660,3;0,85;0,006;0,2382;244,4;3,10E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;23,61;29,21;-11,76;-5,88;-1,76;11,66;0,6;-4,74;1,27;28,98;;1,95;18,37;;58,66;58,9;33,7;82,73
2004;222,1;701,9;30.122;1,17;35.117;0,95;14,12;0,03;1,2;1.231;0,75;0,86111394;701,9;0,91;0,0063;0,2532;259,7;3,51E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;24,27;31,23;-12,64;-6,32;-1,9;12,36;0,64;-5,04;1,35;32,87;;1,94;19,5;;63,57;63,82;35,98;90,35
2005;233;736,4;31.857;1,17;37.139;0,95;14,2;0,03;1,2;1.231;0,75;0,861175755;736,4;0,96;0,0066;0,2656;272,5;3,71E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;24,97;32,95;-13,41;-6,71;-2,01;12,92;0,67;-5,29;1,41;34,76;;1,9;20,44;;66,45;66,7;37,36;94,72
2006;235,7;744,9;33.179;1,17;38.680;0,95;14,38;0,03;1,2;1.231;0,75;0,861137154;744,9;0,98;0,0067;0,2687;275,7;3,87E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;25,66;33,77;-13,81;-6,9;-2,07;13,14;0,68;-5,35;1,43;36,2;;1,81;20,82;;68,69;68,95;38,57;97,88
2007;242,6;766,6;34.935;1,17;40.727;0,95;14,57;0,03;1,2;1.231;0,76;0,861017452;766,6;1,02;0,0069;0,2766;283,7;4,07E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;26,39;35,2;-14,46;-7,23;-2,17;13,58;0,7;-5,51;1,47;38,12;;1,75;21,58;;71,58;71,8;40,11;102,25
2008;241,5;763;35.769;1,17;41.699;0,95;14,76;0,03;1,2;1.231;0,76;0,860877463;763;1,03;0,0069;0,2753;282,4;4,17E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;27,07;35,48;-14,64;-7,32;-2,2;13,59;0,69;-5,48;1,46;39,03;;1,63;21,62;;73,22;73,45;41,15;104,43
2009;229;723,6;34.868;1,17;40.648;0,95;14,95;0,03;1,2;1.231;0,76;0,860987828;723,6;0,99;0,0065;0,261;267,8;4,06E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;27,69;34,08;-14,13;-7,06;-2,12;12,94;0,66;-5,2;1,39;38,04;;1,43;20,65;;72,51;72,71;41,44;102,83
2010;240,5;760,1;38.366;1,17;44.727;0,95;15,14;0,03;1,2;1.231;0,77;0,861171379;760,1;1,05;0,0069;0,2742;281,3;4,47E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;28,33;36,27;-15,1;-7,55;-2,26;13,66;0,69;-5,46;1,46;41,86;;1,38;21,84;;77,4;77,61;43,58;110,48
2011;247,7;782,7;40.441;1,17;47.145;0,95;15,14;0,03;1,2;1.231;0,78;0,861000221;782,7;1,08;0,0071;0,2824;289,6;4,71E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;29,01;37,34;-15,81;-7,9;-2,37;13,62;0,71;-5,62;1,5;44,13;;0,87;21,98;;80,18;80,38;44,96;114,71
2012;250,4;791,1;41.454;1,17;48.326;0,95;15,14;0,03;1,2;1.231;0,78;0,860856961;791,1;1,1;0,0071;0,2854;292,8;4,83E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;29,68;37,75;-16,04;-8,02;-2,41;13,66;0,72;-5,68;1,52;45,23;;0,75;22,1;;81,92;82,07;45,98;117,26
2013;257,5;813,6;42.740;1,17;49.826;0,95;15,14;0,03;1,2;1.231;0,79;0,860929605;813,6;1,13;0,0073;0,2935;301,1;4,98E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;30,36;38,82;-16,56;-8,28;-2,48;13,95;0,74;-5,84;1,56;46,63;;0,63;22,6;;84,08;84,28;47,03;120,44
2014;265,6;839,2;44.460;1,17;51.832;0,95;15,14;0,03;1,2;1.231;0,79;0,860936936;839,2;1,16;0,0076;0,3028;310,6;5,18E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;31,08;40,04;-17,15;-8,57;-2,57;14,27;0,76;-6,03;1,61;48,51;;0,51;23,18;;86,85;87,05;48,51;124,56
2015;280,1;885,1;46.704;1,17;54.447;0,95;15,14;0,03;1,2;1.231;0,79;0,861019858;885,1;1,23;0,008;0,3193;327,5;5,44E+10;;34,44;-18,69;-9,35;-2,8;5,46;100,67;-19,91;0,0052;9,36E-10;;31,85;42,23;-18,15;-9,08;-2,72;14,93;0,8;-6,36;1,7;50,96;;0,39;24,31;;90,36;90,55;50,08;129,9
